643.125 1269.375 868.4249016249382,605.625 1006.875 508.11114369287617,605.625 706.875 108.11114369287615,680.625 706.875 0,755.625 706.875 -108.11114369287615,755.625 1006.875 -508.11114369287617,793.125 1250.625 -881.3646656523141
643.125 1269.375 860.8388033522263,605.625 1006.875 500.5250454201642,586.875 706.875 100.96474020954896,671.25 706.875 0,755.625 706.875 -100.96474020954896,736.875 1006.875 -500.5250454201642,774.375 1250.625 -873.7785673796021
643.125 1269.375 867.9852068355535,605.625 1006.875 507.6714489034914,586.875 706.875 108.11114369287615,661.875 706.875 0,736.875 706.875 -108.11114369287615,736.875 1006.875 -508.11114369287617,755.625 1250.625 -882.774831758753
624.375 1269.375 868.075119932525,605.625 988.125 520.677107337282,586.875 706.875 107.70389392023723,661.875 697.5 0,736.875 688.125 -107.70389392023723,736.875 1006.875 -492.92907157611165,755.625 1250.625 -867.5927596419884
624.375 1288.125 853.7474643399689,605.625 1006.875 506.34945174472597,568.125 706.875 108.11114369287615,643.125 706.875 0,718.125 706.875 -108.11114369287615,718.125 1006.875 -508.11114369287617,736.875 1250.625 -882.774831758753
624.375 1288.125 853.5481489790019,586.875 1006.875 507.6714489034914,568.125 706.875 108.11114369287615,643.125 706.875 0,718.125 706.875 -108.11114369287615,699.375 1006.875 -507.6714489034914,736.875 1250.625 -880.9249708629293
624.375 1288.125 864.4287356168104,568.125 1006.875 521.1025362740795,568.125 725.625 107.70389392023723,643.125 716.25 0,718.125 706.875 -107.70389392023723,699.375 1006.875 -507.2641991308525,718.125 1250.625 -881.9278871967292
605.625 1288.125 864.4287356168104,549.375 1006.875 521.1025362740795,549.375 725.625 107.70389392023723,624.375 716.25 0,699.375 706.875 -107.70389392023723,699.375 1006.875 -507.70389392023725,718.125 1250.625 -882.367581986114
605.625 1288.125 851.0300932629682,549.375 1006.875 507.70389392023725,549.375 706.875 107.70389392023723,624.375 716.25 0,699.375 725.625 -107.70389392023723,680.625 1006.875 -520.677107337282,718.125 1231.875 -905.524160275361
605.625 1288.125 866.7420562772124,530.625 1006.875 527.0187252339581,549.375 725.625 114.04551181691332,615.0 725.625 0,680.625 725.625 -114.04551181691332,680.625 1006.875 -527.4441541707556,718.125 1231.875 -912.2912071088347
586.875 1288.125 851.0300932629682,530.625 1006.875 507.70389392023725,530.625 706.875 107.70389392023723,605.625 716.25 0,680.625 725.625 -107.70389392023723,680.625 1006.875 -521.1025362740795,699.375 1250.625 -895.7662243399564
586.875 1269.375 864.8359853894494,530.625 988.125 521.5097860467184,530.625 706.875 108.11114369287615,605.625 706.875 0,680.625 706.875 -108.11114369287615,661.875 1006.875 -507.6714489034914,699.375 1250.625 -880.9249708629293
586.875 1269.375 851.4373430356071,530.625 988.125 508.11114369287617,530.625 688.125 108.11114369287615,605.625 688.125 0,680.625 688.125 -108.11114369287615,661.875 988.125 -507.6714489034914,699.375 1250.625 -867.9852068355535
568.125 1288.125 837.8568853714073,530.625 988.125 508.11114369287617,530.625 688.125 108.11114369287615,605.625 688.125 0,680.625 688.125 -108.11114369287615,661.875 988.125 -507.6714489034914,699.375 1231.875 -880.9249708629293
568.125 1250.625 868.4249016249382,530.625 988.125 508.11114369287617,530.625 688.125 108.11114369287615,605.625 688.125 0,680.625 688.125 -108.11114369287615,661.875 1006.875 -492.8797429834108,699.375 1250.625 -866.1332649428487
549.375 1250.625 867.9852068355535,511.875 988.125 507.6714489034914,530.625 688.125 108.11114369287615,605.625 688.125 0,680.625 688.125 -108.11114369287615,680.625 988.125 -508.11114369287617,699.375 1231.875 -882.774831758753
530.625 1231.875 887.5141663701604,511.875 969.375 525.7398007012747,549.375 688.125 114.04551181691332,615.0 688.125 0,680.625 688.125 -114.04551181691332,680.625 988.125 -514.0455118169133,680.625 1231.875 -889.1780772589509
530.625 1250.625 864.0428246633215,493.125 988.125 503.7290667312595,549.375 688.125 107.70389392023723,624.375 697.5 0,699.375 706.875 -107.70389392023723,661.875 1006.875 -505.94220197208705,680.625 1231.875 -892.1570924865837
530.625 1250.625 875.8049694283105,493.125 969.375 529.9282693528,549.375 706.875 108.11114369287615,624.375 706.875 0,699.375 706.875 -108.11114369287615,661.875 1006.875 -506.34945174472597,680.625 1231.875 -892.5643422592226
530.625 1250.625 863.1344671308946,493.125 969.375 517.2577670553841,549.375 688.125 107.70389392023723,624.375 697.5 0,699.375 706.875 -107.70389392023723,661.875 1006.875 -505.94220197208705,680.625 1231.875 -892.1570924865837
511.875 1231.875 892.3287048938998,493.125 988.125 517.665016828023,549.375 706.875 108.11114369287615,624.375 706.875 0,699.375 706.875 -108.11114369287615,661.875 1006.875 -506.34945174472597,680.625 1231.875 -892.5643422592226
530.625 1231.875 880.5116444067003,493.125 969.375 520.1978864746383,568.125 688.125 113.65952727590289,633.75 697.5 0,699.375 706.875 -113.65952727590289,680.625 988.125 -526.6327406929477,680.625 1231.875 -901.7653061349853
530.625 1194.375 905.0449394127173,493.125 969.375 520.1978864746383,568.125 688.125 113.65952727590289,633.75 697.5 0,699.375 706.875 -113.65952727590289,680.625 988.125 -526.6327406929477,680.625 1231.875 -901.7653061349853
549.375 1175.625 920.7096904149163,511.875 950.625 535.8626374768372,568.125 688.125 114.04551181691332,633.75 688.125 0,699.375 688.125 -114.04551181691332,680.625 988.125 -513.6058170275286,680.625 1231.875 -888.7383824695662
568.125 1156.875 916.1960707097852,511.875 950.625 523.2134004110497,568.125 669.375 113.65952727590289,633.75 678.75 0,699.375 688.125 -113.65952727590289,680.625 969.375 -526.6327406929477,699.375 1231.875 -888.4071063618334
586.875 1156.875 914.5632231517995,530.625 931.875 532.0067676382054,568.125 669.375 108.11114369287615,643.125 669.375 0,718.125 669.375 -108.11114369287615,680.625 969.375 -506.34945174472597,699.375 1231.875 -868.1238174136117
624.375 1138.125 923.0879835141056,549.375 931.875 533.2489889854353,568.125 669.375 108.11114369287615,643.125 669.375 0,718.125 669.375 -108.11114369287615,699.375 950.625 -521.0843571099209,699.375 1213.125 -883.3442833440058
643.125 1138.125 913.0737012042802,549.375 913.125 537.9411357622425,586.875 650.625 114.04551181691332,652.5 650.625 0,718.125 650.625 -114.04551181691332,699.375 950.625 -513.6058170275286,718.125 1213.125 -875.3801826964143
661.875 1100.625 942.7584791810946,568.125 931.875 539.1833571094725,586.875 669.375 114.04551181691332,652.5 669.375 0,718.125 669.375 -114.04551181691332,699.375 950.625 -527.0187252339581,718.125 1213.125 -888.7930909028438
680.625 1119.375 929.4729984723001,568.125 931.875 539.1833571094725,586.875 669.375 114.04551181691332,652.5 669.375 0,718.125 669.375 -114.04551181691332,699.375 950.625 -527.0187252339581,718.125 1194.375 -901.6824132998349
718.125 1138.125 913.8743286055096,586.875 931.875 539.2106405396329,586.875 669.375 113.65952727590289,652.5 660.0 0,718.125 650.625 -113.65952727590289,699.375 931.875 -526.6327406929477,718.125 1194.375 -888.4071063618334
736.875 1138.125 923.1609430567132,605.625 931.875 548.4972549908364,605.625 669.375 122.94614172710632,652.5 669.375 0,699.375 669.375 -122.94614172710632,699.375 931.875 -548.4972549908364,718.125 1194.375 -910.2716206597221
